Time,Event,EventTime,H1,H2,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_3,XX1,SS,gg1
2.54,NaN,NaN,1,0,1.10071891115222e-05,1,1,1,1,0.000730755017648747,-0.00236413085460861,-0.0173657317341676,61320.0643531144,136266.809673588,50337.1927513933
2.55,NaN,NaN,1,0,1.10071891115222e-05,0,1,1,1,0.000702561565401809,-0.00217873547477514,-0.0167409263907127,57233.1299907622,127184.733312805,56050.7613245427
2.56,1,0.13,1,0,7.19376346627619e-06,1,1,1,1,0.000674660729846647,-0.00195736299215963,-0.0160900165823991,53004.2317179587,117787.181595464,0
2.57,NaN,NaN,1,0,7.19376346627619e-06,1,1,1,1,0.000721316574122491,-0.0016728668052597,-0.0153846466214836,48721.5344411657,108270.076535924,207.982069068963
2.58,NaN,NaN,1,0,7.19376346627619e-06,1,1,1,1,0.00084935956051827,-0.00130383080540562,-0.0146033818648501,44021.4302869055,97825.4006375677,976.951177590874
2.59,NaN,NaN,1,0,7.19376346627619e-06,1,1,1,1,0.00103139957849258,-0.000862104445846757,-0.0137576981672827,38862.0332311275,86360.07384695,2642.21853130029
2.6,NaN,NaN,1,0,7.19376346627619e-06,1,1,1,1,0.00119885388128903,-0.000406364749148858,-0.0129055327855193,33558.8935910708,74575.3190912685,5523.10027858796
2.61,NaN,NaN,1,0,7.19376346627619e-06,1,1,1,1,0.00128157800221817,-1.02525091471256e-05,-0.0121195705669137,28716.9733773259,63815.4963940575,9483.94936465016
2.62,NaN,NaN,1,0,7.19376346627619e-06,1,1,1,1,0.00125762614834706,0.00028741525700787,-0.0114377906570607,24797.3973314805,55105.3274032901,13793.7401607164
2.63,NaN,NaN,1,0,7.19376346627619e-06,0,1,1,1,0.00119994280375917,0.000493340416626613,-0.0108530935130664,21838.686550545,48530.4145567666,17712.7920623028
2.64,1,0.08,1,0,5.70549855370424e-06,1,1,1,1,0.00105121894683953,0.000636299079964725,-0.0103379344568084,19547.5405243581,43438.978943018,0
2.65,NaN,NaN,1,0,5.70549855370424e-06,1,1,1,1,0.000901025613608094,0.000742136087017483,-0.00986555845709996,17780.3623556099,39511.9163457999,110.036027887315
2.66,NaN,NaN,1,0,5.70549855370424e-06,1,1,1,1,0.000770003707915292,0.000832079810599922,-0.00941541228025929,16271.4340272971,36158.7422828825,396.015080546825
2.67,NaN,NaN,1,0,5.70549855370424e-06,1,1,1,1,0.000672000380626849,0.00092451136825838,-0.00896975244914219,14895.5778917153,33101.2842038117,828.767413465558
2.68,NaN,NaN,1,0,5.70549855370424e-06,1,1,1,1,0.000620861679596796,0.001040357362156,-0.00850815754704838,13564.2994671025,30142.8877046722,1415.80030605722
2.69,NaN,NaN,1,0,5.70549855370424e-06,1,1,1,1,0.000634548218462134,0.00120714323257574,-0.00800341730670435,12199.0700016786,27109.0444481746,2211.64036634778
