Time,Event,EventTime,H1,H2,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_3,XX1,SS
1.42,NaN,NaN,1,0,0.000628655044991303,1,1,1,1,0.000715651344838116,-0.17804183964638,-0.236722201567056,19718512.9309192,43818917.6242648
1.43,NaN,NaN,1,0,0.000628655044991303,1,1,1,1,0.000704789580597422,-0.17351182352661,-0.234537516998248,19126114.3999787,42502476.444397
1.44,NaN,NaN,1,0,0.000628655044991303,1,1,1,1,0.000735895588753662,-0.169052662309064,-0.232232452473214,18538193.8911758,41195986.4248351
1.45,NaN,NaN,1,0,0.000628655044991303,1,1,1,1,0.000804498272732206,-0.164658022403971,-0.229809989371561,17952866.312573,39895258.4723845
1.46,NaN,NaN,1,0,0.000628655044991303,1,1,1,1,0.000891953569902263,-0.160336864649163,-0.227287820298234,17370273.4165099,38600607.5922443
1.47,NaN,NaN,1,0,0.000628655044991303,1,1,1,1,0.000968256035989143,-0.156113325055388,-0.22469827719458,16793893.677574,37319763.7279423
1.48,NaN,NaN,1,0,0.000628655044991303,1,1,1,1,0.0010059027385717,-0.152014938064129,-0.222076665994074,16230088.5148656,36066863.3663681
1.49,NaN,NaN,1,0,0.000628655044991303,1,1,1,1,0.000994122747090428,-0.148057782939301,-0.21944657148789,15685196.7493981,34855992.7764402
1.5,NaN,NaN,1,0,0.000628655044991303,1,1,1,1,0.000940786774936762,-0.144241234701952,-0.216814746073951,15162412.0284789,33694248.9521753
1.51,NaN,NaN,1,0,0.000628655044991303,1,1,1,1,0.000863587640290612,-0.140553159239681,-0.214176356512127,14661117.0817047,32580260.1815661
1.52,NaN,NaN,1,0,0.000628655044991303,1,1,1,1,0.000780862857221439,-0.136977247073774,-0.211522279175597,14178437.2933513,31507638.4296696
1.53,NaN,NaN,1,0,0.000628655044991303,1,1,1,1,0.000707643041850193,-0.133496927343516,-0.208842931880428,13710988.0040278,30468862.2311729
1.54,NaN,NaN,1,0,0.000628655044991303,1,1,1,1,0.000655888847780239,-0.130095852457668,-0.206128678284851,13255693.7666045,29457097.2591212
