Time,Event,EventTime,H1,H2,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_3,XX1,SS,gg1,z1
3.17,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00091569044046243,0.00769433465459037,0.00879539115461675,32743.4572831392,72763.238406976,14269.804984432,0.00103636842202147
3.18,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.000841577890921909,0.00763062497860113,0.00885920181388354,32271.9479341485,71715.4398536632,13990.7487863847,0.00091569044046243
3.19,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.000834301276397322,0.00761927593739409,0.00897125004986317,32092.9691261534,71317.7091692299,13971.8482190114,0.000841577890921909
3.2,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.000921243918647575,0.00770084914311705,0.0091718859771557,32476.315498177,72169.5899959489,14443.3553370278,0.000834301276397322
3.21,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00111658902377124,0.0079076393536687,0.00949352149409861,33818.0113880397,75151.1364178661,15781.6354339505,0.000921243918647575
3.22,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00137878336254194,0.00821848484899371,0.00991554968699499,36486.4590816361,81081.0201814135,18433.425477942,0.00111658902377124
3.23,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00160169683201984,0.0085391760153264,0.0103447939941079,40339.5860067925,89643.524459539,22452.3569423413,0.00137878336254194
3.24,NaN,NaN,1,0,1.6003596542978e-06,0,1,1,1,0.00169012981247506,0.00876577749942828,0.0106786073627853,44344.0797250034,98542.3993888964,26878.9124787628,0.00160169683201984
3.25,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.0016337926968518,0.00886120895363875,0.0108809404905674,47185.8577860034,104857.461746674,30179.9708485043,0.00169012981247506
3.26,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00148663210997107,0.00885130511468805,0.0109779704260605,48360.8114855117,107468.469967804,31633.5855549693,0.0016337926968518
3.27,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00130773366571601,0.00877807719871352,0.0110113533838351,48253.0477160763,107228.994924614,31625.3257467308,0.00148663210997107
3.28,NaN,NaN,1,0,1.6003596542978e-06,0,1,1,1,0.00113501078469954,0.00867411867853941,0.0110129236261744,47469.3987174422,105487.552705427,30860.4053511166,0.00130773366571601
3.29,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.000988603232574799,0.00856165439170516,0.0110040431001345,46449.5161843914,103221.147076425,29850.2995446634,0.00113501078469954
3.3,NaN,NaN,1,0,1.6003596542978e-06,0,1,1,1,0.000881719022249177,0.00845979123426707,0.0110030362760634,45458.1879633059,101018.195474013,28890.1645282422,0.000988603232574799
3.31,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.000830445241624473,0.00839290583322533,0.0110336680657316,44695.7288470604,99323.8418823564,28189.5264824545,0.000881719022249177
3.32,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.000860261613259329,0.00839765227671862,0.0111322039943282,44411.9641011564,98693.2535581253,28004.3593322754,0.000830445241624473
3.33,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.000999859222611036,0.0085185128614521,0.0113430236411197,45000.5227111709,100001.16158038,28752.1399485826,0.000860261613259329
3.34,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00124622581215022,0.00877338703064614,0.0116843123576244,46976.6420015715,104392.53778127,31030.2457632722,0.000999859222611036
3.35,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00152158743196584,0.00910432453337144,0.0120989059619126,50606.7061145781,112459.346921285,35266.8068514189,0.00124622581215022
3.36,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00170302102408582,0.00939281837129422,0.012469539985737,55231.9231367645,122737.606970588,40869.1340819922,0.00152158743196584
3.37,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00172416626654619,0.0095532286362021,0.0127118820993003,59260.2692795415,131689.48728787,45939.0519332411,0.00170302102408582
3.38,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00161332256988881,0.009582311308756,0.0128234808117026,61434.5372879151,136521.193973145,48776.5836101538,0.00172416626654619
3.39,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00143756768888923,0.00952180039396277,0.012846066205604,61738.7087435539,137197.130541231,49261.8939323371,0.00161332256988881
3.4,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00125017054023322,0.00941311080128446,0.0128204313447171,60873.1976680001,135273.772595556,48277.5969782278,0.00143756768888923
3.41,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00108064732744099,0.00928441568965241,0.0127738598015396,59497.0277077434,132215.617128319,46674.9615879306,0.00125017054023322
3.42,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.000944633841210125,0.0091557044813296,0.0127254491914579,58016.4268700818,128925.393044626,44968.2527175377,0.00108064732744099
3.43,NaN,NaN,1,0,1.6003596542978e-06,0,1,1,1,0.000855391669600309,0.00904748660707669,0.0126949539189645,56680.4062271394,125956.458282532,43457.4073445139,0.000944633841210125
3.44,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00083327362414316,0.00898973076064224,0.0127117903186917,55721.5141887399,123825.587086089,42409.5716352572,0.000855391669600309
3.45,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.000909402531553997,0.00902684669014936,0.0128200692402353,55485.3696801715,123300.821511492,42221.8290877828,0.00083327362414316
3.46,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.0011079020410624,0.00920189315954705,0.0130628848359646,56511.7561875129,125581.680416695,43537.967799992,0.000909402531553997
3.47,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00139613224554615,0.00950533274108786,0.0134311956225939,59370.6960812845,131934.880180632,47108.5786142985,0.0011079020410624
3.48,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00165915770194916,0.00983850573386844,0.0138273842220402,63997.7151470554,142217.144771234,53011.1392436778,0.00139613224554615
3.49,NaN,NaN,1,0,1.6003596542978e-06,0,1,1,1,0.00177824732330077,0.0100765046845081,0.0141279466456632,69033.1147946769,153406.921765949,59639.2194282007,0.00165915770194916
3.5,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00173039540805409,0.0101675146023565,0.0142822725747886,72558.1796760971,161240.399280216,64413.7496091932,0.00177824732330077
3.51,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00157478030399425,0.0101381925081475,0.0143174797832412,73751.5627651776,163892.361700395,66101.3849534277,0.00173039540805409
3.52,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00138032959013492,0.0100370936029595,0.0142817753136202,73130.8772865186,162513.060636708,65355.0487192739,0.00157478030399425
3.53,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00119086403711774,0.00990138975167176,0.0142114980006399,71568.6147338585,159041.366075241,63367.3026115552,0.00138032959013492
3.54,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00102843719300931,0.0097550565987731,0.014129656903021,69685.1652519915,154855.922782203,60983.4186167148,0.00119086403711774
3.55,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.000906102100284168,0.00961725430844054,0.0140545256484944,67832.4950589762,150738.877908836,58668.0295568426,0.00102843719300931
3.56,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.000839271984361473,0.00951185906784527,0.0140092732498661,66253.2915226101,147229.536716911,56725.3583073726,0.000906102100284168
3.57,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.000854437426525393,0.00947657570842736,0.0140311280220978,65238.2476176875,144973.883594861,55510.1598984417,0.000839271984361473
3.58,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.000986810633521462,0.00956264053579349,0.0141711395912349,65265.1236687313,145033.608152736,55612.9702766992,0.000854437426525393
3.59,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00124556844325485,0.00980162064778788,0.0144610855624751,67020.482286575,148934.405081278,57920.4242016705,0.000986810633521462
3.6,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00155675186993953,0.0101431622490737,0.0148513614540709,70981.4649620064,157736.588804459,63147.5160690846,0.00124556844325485
3.61,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00177893621757048,0.0104546780366151,0.0152106792184144,76470.5097569331,169934.466126518,70570.7251826118,0.00155675186993953
3.62,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00182245846454216,0.0106279885965078,0.0154323296214864,81417.4334138633,180927.629808585,77439.9933009188,0.00177893621757048
3.63,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00171146532968538,0.0106519701980007,0.0155061570936482,84000.9642828199,186668.809517377,81113.7278985577,0.00182245846454216
3.64,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.0015226725659769,0.0105735618471126,0.0154791754323513,84089.3827994261,186865.295109836,81307.6215553689,0.00171146532968538
3.65,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00131830228736528,0.0104406562156324,0.0153986233682976,82613.2713504296,183585.047445399,79326.3375705569,0.0015226725659769
3.66,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.0011319179016483,0.0102847766471938,0.0152950432964939,80465.6891991967,178812.642664881,76442.5624612293,0.00131830228736528
3.67,NaN,NaN,1,0,1.6003596542978e-06,0,1,1,1,0.000979925259701156,0.0101267792290022,0.0151882942725926,78179.1760898888,173731.502421975,73402.8624836804,0.0011319179016483
3.68,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.000874919450663607,0.00998674891014984,0.0150976069621635,76055.6025565055,169012.450125568,70613.5667365309,0.000979925259701156
3.69,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.000836751466296086,0.00989426078398056,0.0150519141509615,74354.0383840628,165231.196409028,68407.9674979327,0.000874919450663607
3.7,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.000899297260431636,0.00989648701075623,0.015098004878606,73460.4026499958,163245.339222213,67278.9184912563,0.000836751466296086
3.71,NaN,NaN,1,0,1.6003596542978e-06,0,1,1,1,0.00109671509000266,0.0100470583237848,0.0152894641618155,74020.6209100142,164490.26868892,68068.5377015202,0.000899297260431636
3.72,NaN,NaN,1,0,1.6003596542978e-06,0,1,1,1,0.00140863915267919,0.0103511612180699,0.0156319092233699,76816.9662240837,170704.369386853,71856.3895211221,0.00109671509000266
3.73,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00171477496824814,0.0107095223323161,0.0160271057901869,81981.7011831433,182181.558184763,78964.9743190306,0.00140863915267919
3.74,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00187036937985213,0.0109748134381596,0.0163292417005569,87979.6297609344,195510.288357632,87425.1798473721,0.00171477496824814
3.75,1,0.78,1,0,4.40301059945317e-07,1,1,1,1,0.00183493973731076,0.0110762626394069,0.0164689462922321,92286.6923955231,205081.538656718,0,0.00187036937985213
3.76,NaN,NaN,1,0,4.40301059945317e-07,1,1,1,1,0.00167188515242015,0.0110399501689749,0.0164729142750813,93651.1439082404,208113.653129423,12.8304714412571,0.00183493973731076
3.77,NaN,NaN,1,0,4.40301059945317e-07,0,1,1,1,0.0014613734126908,0.010921800813355,0.0163967537269703,92664.4296709096,205920.954824244,28.1061485398298,0.00167188515242015
3.78,NaN,NaN,1,0,4.40301059945317e-07,0,1,1,1,0.00125429059104569,0.010764432415598,0.0162821854383322,90463.3252639307,201029.611697624,122.270990367579,0.0014613734126908
3.79,NaN,NaN,1,0,4.40301059945317e-07,0,1,1,1,0.00107507003805264,0.0105939763640265,0.0161542728961898,87852.5933241187,195227.985164708,342.298081623426,0.00125429059104569
3.8,NaN,NaN,1,0,4.40301059945317e-07,1,1,1,1,0.000936669342027304,0.0104297354391717,0.0160313290423295,85266.0635610074,189480.141246683,669.003472966682,0.00107507003805264
