Time,Event,EventTime,H1,H2,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_3,XX1,SS,gg1
1.88,NaN,NaN,1,0,0.000171021773533052,1,1,1,1,-0.000163782435387809,-0.0595154521597618,-0.126549220724619,4300891.65964599,9557537.02143554,2817911.41535091
1.89,NaN,NaN,1,0,0.000171021773533052,0,1,1,1,-9.95361861295676e-05,-0.0580680429901935,-0.124248487719936,4135490.5344069,9189978.96534867,3023761.33514779
1.9,NaN,NaN,1,0,0.000171021773533052,1,1,1,1,-0.000124627171644583,-0.0566543650147628,-0.121977042495922,3973734.07461443,8830520.16580984,3236010.2629845
1.91,NaN,NaN,1,0,0.000171021773533052,1,1,1,1,-0.000144903397767152,-0.0552757742979826,-0.119735037559414,3820063.6228174,8489030.27292755,3448723.621505
1.92,NaN,NaN,1,0,0.000171021773533052,1,1,1,1,-0.000161288778306608,-0.0539312977493391,-0.117522666725755,3671756.78097602,8159459.51328004,3664612.64940207
1.93,1,0.28,1,0,6.60903482455866e-05,0,1,1,1,-0.000117656542954255,-0.0526200085405625,-0.115340083759746,3528674.76068814,7841499.46819587,0
1.94,NaN,NaN,1,0,6.60903482455866e-05,1,1,1,1,-0.000139270376957468,-0.0513396336823968,-0.113187405338073,3389234.78183371,7531632.84851935,3152.32504057122
1.95,NaN,NaN,1,0,6.60903482455866e-05,1,1,1,1,-0.000156736689126136,-0.0500910104224671,-0.111064666119307,3256438.56200974,7236530.13779943,12253.5165431783
1.96,NaN,NaN,1,0,6.60903482455866e-05,1,1,1,1,-0.000170851355720134,-0.0488732632889321,-0.10897192830848,3128386.44017983,6951969.86706629,27012.6574390206
1.97,NaN,NaN,1,0,6.60903482455866e-05,1,1,1,1,-0.000182257530712077,-0.0476855575691169,-0.106909221927679,3004947.4205586,6677660.93457468,47141.3315071466
1.98,NaN,NaN,1,0,6.60903482455866e-05,1,1,1,1,-0.000191474951972466,-0.0465270945910803,-0.104876547319565,2885989.32720404,6413309.61600897,72358.0830597273
1.99,NaN,NaN,1,0,6.60903482455866e-05,1,1,1,1,-0.000198923623832356,-0.0453971078349414,-0.102873877403018,2771379.76236132,6158621.69413626,102388.897082956
2,NaN,NaN,1,0,6.60903482455866e-05,0,1,1,1,-0.000148069562702376,-0.0442948597165851,-0.100901159717902,2660986.86645274,5913304.14767276,136967.535547152
2.01,NaN,NaN,1,0,6.60903482455866e-05,1,1,1,1,-0.000163847381520082,-0.0432182519451023,-0.0989583182892571,2553422.64069154,5674272.53487008,176309.211775089
2.02,NaN,NaN,1,0,6.60903482455866e-05,1,1,1,1,-0.000176597563129222,-0.0421682841810102,-0.097045207732193,2451301.70200395,5447337.11556433,219186.197404048
2.03,NaN,NaN,1,0,6.60903482455866e-05,1,1,1,1,-0.00018690108688902,-0.04114423291946,-0.0951617219620693,2352962.71528464,5228806.03396587,265861.108114975
2.04,NaN,NaN,1,0,6.60903482455866e-05,1,1,1,1,-0.000195227446867503,-0.0401454064680591,-0.0933077337031488,2258290.76221404,5018423.91603121,316101.669296662
2.05,NaN,NaN,1,0,6.60903482455866e-05,1,1,1,1,-0.000201956044976995,-0.0391711414522693,-0.0914830963077861,2167171.34778795,4815936.32841767,369683.172687265
2.06,NaN,NaN,1,0,6.60903482455866e-05,1,1,1,1,-0.00020739347893806,-0.0382207999277416,-0.089687645393235,2079490.98293955,4621091.073199,426388.570989951
