Time,Event,EventTime,H1,H2,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_3,XX1,SS
2.02,NaN,NaN,1,0,6.60370757090943e-05,1,1,1,1,-0.000192160852096498,-0.0421809988923645,-0.0970565982857191,2452455.13772779,5449900.30606175
2.03,NaN,NaN,1,0,6.60370757090943e-05,1,1,1,1,-0.000199477905209788,-0.0411570170990765,-0.0951731579633404,2354019.39843471,5231154.2187438
2.04,NaN,NaN,1,0,6.60370757090943e-05,1,1,1,1,-0.000205390874367062,-0.0401581855907556,-0.0933192159765971,2259266.80305873,5020592.89568606
2.05,NaN,NaN,1,0,6.60370757090943e-05,1,1,1,1,-0.000210169192046809,-0.0391838567860071,-0.0914946230916943,2168079.57332067,4817954.60737928
2.06,NaN,NaN,1,0,6.60370757090943e-05,1,1,1,1,-0.000214030588790353,-0.0382334054666532,-0.0896992129705505,2080341.61654389,4622981.37009753
2.07,NaN,NaN,1,0,6.60370757090943e-05,1,1,1,1,-0.000217151014389986,-0.0373062269715067,-0.0879328035254017,1995938.8400546,4435419.64456577
2.08,NaN,NaN,1,0,6.60370757090943e-05,1,1,1,1,-0.000219672655280453,-0.0364017356761405,-0.0861951981649189,1914759.39035786,4255020.86746191
2.09,NaN,NaN,1,0,6.60370757090943e-05,1,1,1,1,-0.000221710413457167,-0.0355193637052508,-0.0844861869453791,1836693.83193902,4081541.84875338
2.1,NaN,NaN,1,0,6.60370757090943e-05,1,1,1,1,-0.000223357142141835,-0.0346585598344238,-0.0828055476381314,1761635.27761714,3914745.06137143
2.11,NaN,NaN,1,0,6.60370757090943e-05,1,1,1,1,-0.000224687876765745,-0.0338187885463672,-0.0811530467227325,1689479.48002577,3754398.84450172
2.12,NaN,NaN,1,0,6.60370757090943e-05,1,1,1,1,-0.000225763254061204,-0.0329995292133376,-0.0795284403136033,1620124.89190843,3600277.5375743
2.13,NaN,NaN,1,0,6.60370757090943e-05,1,1,1,1,-0.000226632275056682,-0.0322002753828887,-0.07793147502682,1553472.70140212,3452161.55867139
2.14,NaN,NaN,1,0,6.60370757090943e-05,1,1,1,1,-0.000227334537875296,-0.031420534148418,-0.076361888792641,1489426.84726901,3309837.43837558
2.15,NaN,NaN,1,0,6.60370757090943e-05,1,1,1,1,-0.000227902042077121,-0.0306598255895157,-0.0748194116185419,1427894.0180651,3173097.81792243
2.16,NaN,NaN,1,0,6.60370757090943e-05,1,1,1,1,-0.000228360646762649,-0.0299176822699643,-0.0733037663068537,1368783.6384569,3041741.41879311
2.17,NaN,NaN,1,0,6.60370757090943e-05,1,1,1,1,-0.000228731248877861,-0.0291936487835393,-0.0718146691305396,1312007.84527474,2915572.98949941
2.18,1,0.25,1,0,2.69822340313383e-05,1,1,1,1,-0.000229030735411982,-0.0284872813396215,-0.0703518304701898,1257481.45539257,2794403.23420571
2.19,NaN,NaN,1,0,2.69822340313383e-05,1,1,1,1,-0.000229272752876096,-0.0277981473821367,-0.0689149554149305,1205121.92712523,2678048.72694495
2.2,NaN,NaN,1,0,2.69822340313383e-05,1,1,1,1,-0.000229468329124987,-0.0271258252365529,-0.0675037443296289,1154849.31651352,2566331.81447449
2.21,NaN,NaN,1,0,2.69822340313383e-05,1,1,1,1,-0.000229626375856326,-0.0264699037806514,-0.0661178933905164,1106586.22961097,2459080.5102466
2.22,NaN,NaN,1,0,2.69822340313383e-05,1,1,1,1,-0.000229754094684295,-0.0258299821355807,-0.0647570950911266,1060257.77167939,2356128.38150975
2.23,NaN,NaN,1,0,2.69822340313383e-05,1,1,1,1,-0.000229857305290927,-0.0252056693743474,-0.0634210387202663,1015791.49403444,2257314.43118765
2.24,NaN,NaN,1,0,2.69822340313383e-05,1,1,1,1,-0.000229940710607831,-0.0245965842454193,-0.0621094108135757,973117.339148374,2162482.97588528
2.25,NaN,NaN,1,0,2.69822340313383e-05,1,1,1,1,-0.000230008111111664,-0.0240023549095358,-0.0608218955801034,932167.584508801,2071483.52113067
2.26,NaN,NaN,1,0,2.69822340313383e-05,1,1,1,1,-0.000230062577998016,-0.0234226186881627,-0.0595581753052082,892876.78564484,1984170.63476631
