Time,X1_pred,X2_pred,X3_pred,U_pred,Event_pred
1.809,-1.64946974403641e-07,0.00412793456403754,0.0127115922728445,-9.18162227363546e-06,0
1.819,9.97172962139831e-08,0.00402726260126249,0.0124169839729628,-5.96783144851246e-06,1
1.829,3.08421495487949e-07,0.0039290521800112,0.0121290319560433,-5.83348547053939e-06,1
1.839,4.71769725929955e-07,0.00383324190597228,0.0118475922501703,-5.83348547053939e-06,0
1.849,5.99611152017717e-07,0.00373977214065964,0.0115725237176568,-5.83348547053939e-06,0
1.859,6.97321374173099e-07,0.00364858494018254,0.0113036880180311,-5.83348547053939e-06,0
1.869,7.70145198072805e-07,0.00355962390482266,0.0110409495701931,-5.83348547053939e-06,0
1.879,-4.97038698188527e-07,0.00347283413818669,0.0107841755107063,-5.83348547053939e-06,0
1.889,-1.52106014222848e-06,0.003388130010776,0.0105332356521187,-5.83348547053939e-06,0
1.899,-1.03522119833939e-06,0.00330546659010952,0.0102880013362965,-5.83348547053939e-06,0
1.909,-6.47090846862824e-07,0.00322483093043716,0.0100483467787379,-5.83348547053939e-06,0
1.919,-3.3967731414185e-07,0.0031461711979321,0.00981415006779251,-5.83348547053939e-06,0
1.929,-9.40335482052523e-08,0.00306943723721747,0.00958529169702116,-5.83348547053939e-06,0
1.939,1.00197715341885e-07,0.00299458057811731,0.00936165454025178,-5.83348547053939e-06,0
1.949,2.54465887357131e-07,0.00292155418508045,0.0091431238277234,-5.83348547053939e-06,0
1.959,3.74685814457908e-07,0.00285031244882848,0.00892958711444861,-5.83348547053939e-06,0
1.969,4.68368987263855e-07,0.00278081101660186,0.00872093424937519,-5.83348547053939e-06,0
1.979,-7.40906468352926e-07,0.00271300680045448,0.00851705733977995,-5.83348547053939e-06,0
1.989,-4.41859785114668e-07,0.00264682663512576,0.00831785071716922,-5.83348547053939e-06,0
1.999,-2.03706300280655e-07,0.00258226769834037,0.00812320982862532,-5.83348547053939e-06,0
2.009,-1.40420573150274e-08,0.00251928896819539,0.00793303361282968,-5.83348547053939e-06,0
2.019,1.36793405427489e-07,0.00245785072568436,0.00774722306913654,-5.83348547053939e-06,0
2.029,2.53153294533965e-07,0.00239791445601788,0.00756568123156458,-5.83348547053939e-06,0
2.039,3.44395143915859e-07,0.00233944268982836,0.00738831314029426,-5.83348547053939e-06,0
2.049,4.16163344774625e-07,0.00228239909971589,0.00721502580869337,-5.83348547053939e-06,0
2.059,-7.83094265693613e-07,0.00222674838184661,0.00704572819478785,-5.83348547053939e-06,0
2.069,-5.02868439272904e-07,0.00217242557173866,0.00688033116964808,-5.83348547053939e-06,0
2.079,-2.79156870916832e-07,0.00211943436586804,0.00671874643371663,-5.83348547053939e-06,0
2.089,-1.00882875805378e-07,0.002067740912189,0.00656088884492393,-5.83348547053939e-06,0
2.099,3.97803467440478e-08,0.00201731245433276,0.0064066750215766,-5.83348547053939e-06,0
2.109,1.50443801737277e-07,0.00196811722563226,0.00625602331954366,-5.83348547053939e-06,0
2.119,-9.97824354178438e-07,0.00192012441972376,0.00610885380658843,-5.83348547053939e-06,0
2.129,-6.91808391230356e-07,0.00187327401155743,0.00596508823657247,-5.83348547053939e-06,0
2.139,-4.48727131645699e-07,0.00182757360710634,0.0058246489887415,-5.83348547053939e-06,0
2.149,-1.48201917881269e-06,0.00178299362644128,0.00568746136749302,-5.83348547053939e-06,0
2.159,-1.09217604432918e-06,0.00173947561887155,0.00555345222568464,-5.83348547053939e-06,0
2.169,-7.78903537819847e-07,0.00169702839205693,0.0054225489205856,-5.83348547053939e-06,0
2.179,-5.29078255411775e-07,0.00165562396553926,0.00529468160500544,-5.83348547053939e-06,0
2.189,-3.27779577787428e-07,0.00161523536126024,0.00516978186870368,-5.83348547053939e-06,0
2.199,-1.38428049295939e-06,0.00157583662294462,0.00504778272347521,-5.83348547053939e-06,0
2.209,-2.23804733451717e-06,0.00153737293677249,0.0049286185894128,-5.83348547053939e-06,0
2.219,-1.71592946385938e-06,0.00149982644370307,0.00481222425612288,-5.83348547053939e-06,0
2.229,-2.50605552109322e-06,0.00146320832984865,0.004698536138405,-5.83348547053939e-06,0
2.239,-1.93809587667425e-06,0.00142746395313264,0.00458749321735973,-5.83348547053939e-06,0
2.249,-1.48008012719309e-06,0.00139260512536345,0.00447903469295293,-5.83348547053939e-06,0
