Time,Event,EventTime,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,x1_3,XX1,SS,gg1,z1,chi,Normalized chi
9.79,NaN,NaN,2.06466439177714e-10,1,-4.77133950796859e-13,2.02075166416232e-10,2.14478878834347e-09,1.91157918316134e-11,-1.97088980004549e-09,-6.97327406378386e-09,1.27284239069674e-08,3.03057712070652e-08,3.03057712070652e-08,2.38566975398429e-11,7.61514461220122e+19,2.75854735351562e-05
9.8,NaN,NaN,2.06466439177714e-10,1,-3.82315836632268e-13,1.97088980004549e-10,2.09198221913516e-09,1.52886654330071e-11,-1.92235953367639e-09,-6.80158223108383e-09,1.21114092622471e-08,2.88366887196359e-08,2.88366887196359e-08,1.91157918316134e-11,7.61514461220122e+19,2.75854735351562e-05
9.81,NaN,NaN,2.06466439177714e-10,1,-3.05773308660141e-13,1.92235953367639e-10,2.04047466932515e-09,1.21998582854046e-11,-1.87510610704471e-09,-6.63411754966341e-09,1.15240533635304e-08,2.743822229412e-08,2.743822229412e-08,1.52886654330071e-11,7.61514461220122e+19,2.75854735351562e-05
9.82,NaN,NaN,2.06466439177714e-10,1,-2.43997165708092e-13,1.87510610704471e-10,1.99023526489902e-09,9.70758537210539e-12,-1.8290803764682e-09,-6.47077875892985e-09,1.09649906736253e-08,2.61071206514888e-08,2.61071206514888e-08,1.21998582854046e-11,7.61514461220122e+19,2.75854735351562e-05
9.83,NaN,NaN,2.06466439177714e-10,1,-1.94151707442108e-13,1.8290803764682e-10,1.94123362767896e-09,7.69727404931359e-12,-1.7842378544428e-09,-6.31146638704701e-09,1.04329058267091e-08,2.4840251968355e-08,2.4840251968355e-08,9.70758537210539e-12,7.61514461220122e+19,2.75854735351562e-05
9.84,NaN,NaN,2.06466439177714e-10,1,-1.53945480986272e-13,1.7842378544428e-10,1.8934399161141e-09,6.07634163616305e-12,-1.74053793246426e-09,-6.15608284935096e-09,9.926534413951e-09,2.36346057475024e-08,2.36346057475024e-08,7.69727404931359e-12,7.61514461220122e+19,2.75854735351562e-05
9.85,NaN,NaN,2.06466439177714e-10,1,-1.21526832723261e-13,1.74053793246426e-10,1.84682485480529e-09,4.76997524431503e-12,-1.69794325016178e-09,-6.00453251671358e-09,9.44466314029582e-09,2.24872931911805e-08,2.24872931911805e-08,6.07634163616305e-12,7.61514461220122e+19,2.75854735351562e-05
9.86,NaN,NaN,2.06466439177714e-10,1,-9.53995048863006e-14,1.69794325016178e-10,1.80135975501407e-09,3.7177215062329e-12,-1.6564191827338e-09,-5.85672175990699e-09,8.98612947454557e-09,2.13955463679656e-08,2.13955463679656e-08,4.76997524431503e-12,7.61514461220122e+19,2.75854735351562e-05
9.87,NaN,NaN,2.06466439177714e-10,1,-7.43544301246581e-14,1.6564191827338e-10,1.7570165279721e-09,2.87073077358499e-12,-1.6159334240501e-09,-5.71255897485325e-09,8.54982090129012e-09,2.03567164316432e-08,2.03567164316432e-08,3.7177215062329e-12,7.61514461220122e+19,2.75854735351562e-05
9.88,NaN,NaN,2.06466439177714e-10,1,-5.74146154716999e-14,1.6159334240501e-10,1.71376769245597e-09,2.18953018568591e-12,-1.57645564712641e-09,-5.57195459269858e-09,8.13467386784891e-09,1.9368271113926e-08,1.9368271113926e-08,2.87073077358499e-12,7.61514461220122e+19,2.75854735351562e-05
9.89,NaN,NaN,2.06466439177714e-10,1,-4.37906037137181e-14,1.57645564712641e-10,1.67158637780957e-09,1.6422241119346e-12,-1.5379572271873e-09,-5.43482107788865e-09,7.73967250421941e-09,1.84277916767129e-08,1.84277916767129e-08,2.18953018568591e-12,7.61514461220122e+19,2.75854735351562e-05
9.9,NaN,NaN,2.06466439177714e-10,1,-3.28444822386919e-14,1.5379572271873e-10,1.6304463233666e-09,1.20303995042152e-12,-1.50041101536847e-09,-5.30107291680488e-09,7.36384718011114e-09,1.75329694764551e-08,1.75329694764551e-08,1.6422241119346e-12,7.61514461220122e+19,2.75854735351562e-05
9.91,NaN,NaN,2.06466439177714e-10,1,-2.40607990084304e-14,1.50041101536847e-10,1.59032187504146e-09,8.51153005006729e-13,-1.4637911534014e-09,-5.17062659902378e-09,7.00627295091293e-09,1.66816022640784e-08,1.66816022640784e-08,1.20303995042152e-12,7.61514461220122e+19,2.75854735351562e-05
9.92,NaN,NaN,2.06466439177714e-10,1,-1.70230601001346e-14,1.4637911534014e-10,1.55118797970713e-09,5.69736882594999e-13,-1.42807292147507e-09,-5.04340059285913e-09,6.66606793399371e-09,1.58715903190327e-08,1.58715903190327e-08,8.51153005006729e-13,7.61514461220122e+19,2.75854735351562e-05
9.93,1,0.21,1.26021274706764e-10,1,-1.13947376519e-14,1.42807292147507e-10,1.51302017785774e-09,3.4519613076029e-13,-1.3932326129657e-09,-4.91931531652189e-09,6.34239164799404e-09,1.51009324952239e-08,0,5.69736882594999e-13,2.17575560348606e+20,7.8815638671875e-05
9.94,NaN,NaN,1.26021274706764e-10,0,-6.90392261520581e-15,1.3932326129657e-10,1.47579459495657e-09,2.44614302008669e-11,-1.35924743093527e-09,-4.79829310597043e-09,6.03444334055664e-09,1.43677222394206e-08,1.43677222394206e-08,3.4519613076029e-13,2.17575560348606e+20,7.8815638671875e-05
9.95,NaN,NaN,1.26021274706764e-10,1,-4.89228604017338e-13,1.35924743093527e-10,1.43948793179113e-09,1.96577293658745e-11,-1.32550292293874e-09,-4.68025818031187e-09,5.7327504580569e-09,1.36494058525164e-08,1.36494058525164e-08,2.44614302008669e-11,2.17575560348606e+20,7.8815638671875e-05
9.96,NaN,NaN,1.26021274706764e-10,1,-3.93154587317489e-13,1.32550292293874e-10,1.40407745409356e-09,1.57785660765797e-11,-1.29269849011099e-09,-4.56511627036831e-09,5.45540118782381e-09,1.29890504471996e-08,1.29890504471996e-08,1.96577293658745e-11,2.17575560348606e+20,7.8815638671875e-05
9.97,NaN,NaN,1.26021274706764e-10,1,-3.15571321531595e-13,1.29269849011099e-10,1.36953488111049e-09,1.26464469787394e-11,-1.26078866014174e-09,-4.45280034731432e-09,5.1912903662047e-09,1.23602151576302e-08,1.23602151576302e-08,1.57785660765797e-11,2.17575560348606e+20,7.8815638671875e-05
9.98,NaN,NaN,1.26021274706764e-10,1,-2.52928939574787e-13,1.26078866014174e-10,1.3358401041943e-09,1.01179432146377e-11,-1.22973339818439e-09,-4.34324412218718e-09,4.9398260108376e-09,1.17614905019943e-08,1.17614905019943e-08,1.26464469787394e-11,2.17575560348606e+20,7.8815638671875e-05
9.99,NaN,NaN,1.26021274706764e-10,1,-2.02358864292755e-13,1.22973339818439e-10,1.30297323665616e-09,8.07715303166661e-12,-1.1994971435217e-09,-4.23638220711796e-09,4.70043449585682e-09,1.1191510704421e-08,1.1191510704421e-08,1.01179432146377e-11,2.17575560348606e+20,7.8815638671875e-05
10,NaN,NaN,1.26021274706764e-10,1,-1.61543060633332e-13,1.1994971435217e-10,1.27091466213539e-09,6.43041898956318e-12,-1.17004802915165e-09,-4.13215023796521e-09,4.47256160750077e-09,1.06489562083352e-08,1.06489562083352e-08,8.07715303166661e-12,2.17575560348606e+20,7.8815638671875e-05
10.01,NaN,NaN,1.26021274706764e-10,1,-1.28608379791264e-13,1.17004802915165e-10,1.23964507138956e-09,5.10205899491896e-12,-1.14135724923683e-09,-4.03048496595431e-09,4.25567323367235e-09,1.01325553182675e-08,1.01325553182675e-08,6.43041898956318e-12,2.17575560348606e+20,7.8815638671875e-05
10.02,NaN,NaN,1.26021274706764e-10,1,-1.02041179898379e-13,1.14135724923683e-10,1.20914548978629e-09,4.03091659826654e-12,-1.11339854608698e-09,-3.93132432446113e-09,4.04925573733498e-09,9.64108508889282e-09,9.64108508889282e-09,5.10205899491896e-12,2.17575560348606e+20,7.8815638671875e-05
10.03,NaN,NaN,1.26021274706764e-10,1,-8.06183319653308e-14,1.11339854608698e-10,1.17939729733834e-09,3.16757332816905e-12,-1.08614779378048e-09,-3.83460747589578e-09,3.85281606645032e-09,9.17337158678649e-09,9.17337158678649e-09,4.03091659826654e-12,2.17575560348606e+20,7.8815638671875e-05
10.04,NaN,NaN,1.26021274706764e-10,1,-6.33514665633809e-14,1.08614779378048e-10,1.15038224276873e-09,2.47209601006539e-12,-1.0595826599228e-09,-3.74027484268622e-09,3.66588165055428e-09,8.72828964417684e-09,8.72828964417684e-09,3.16757332816905e-12,2.17575560348606e+20,7.8815638671875e-05
10.05,NaN,NaN,1.26021274706764e-10,1,-4.94419202013078e-14,1.0595826599228e-10,1.12208245280586e-09,1.91221640035707e-12,-1.03368233058986e-09,-3.64826812558941e-09,3.488000128864e-09,8.30476221158096e-09,8.30476221158096e-09,2.47209601006539e-12,2.17575560348606e+20,7.8815638671875e-05
10.06,NaN,NaN,1.26021274706764e-10,1,-3.82443280071414e-14,1.03368233058986e-10,1.09448043767682e-09,1.46186016963856e-12,-1.00842728637241e-09,-3.55853031193344e-09,3.3187389486607e-09,7.9017594015731e-09,7.9017594015731e-09,1.91221640035707e-12,2.17575560348606e+20,7.8815638671875e-05
10.07,NaN,NaN,1.26021274706764e-10,1,-2.92372033927712e-14,1.00842728637241e-10,1.06755909358003e-09,1.09995819108615e-12,-9.83799119755692e-10,-3.47100567589013e-09,3.1576848665199e-09,7.51829730123787e-09,7.51829730123787e-09,1.46186016963856e-12,2.17575560348606e+20,7.8815638671875e-05
10.08,NaN,NaN,1.26021274706764e-10,0,-2.1999163821723e-14,9.83799119755692e-11,1.04130170276704e-09,2.50713594599127e-11,-9.59780385941804e-10,-3.38563977247048e-09,3.00444337923685e-09,7.1534366172306e-09,7.1534366172306e-09,1.09995819108615e-12,2.17575560348606e+20,7.8815638671875e-05
10.09,NaN,NaN,1.26021274706764e-10,1,-5.01427189198254e-13,9.59780385941804e-11,1.01569193174115e-09,2.01828286496858e-11,-9.35762806426692e-10,-3.30237942660605e-09,2.85255568819687e-09,6.79179925761159e-09,6.79179925761159e-09,2.50713594599127e-11,2.17575560348606e+20,7.8815638671875e-05
10.1,NaN,NaN,1.26021274706764e-10,1,-4.03656572993717e-13,9.35762806426693e-11,9.90713827981814e-10,1.623433245292e-11,-9.12450160224085e-10,-3.22115241096825e-09,2.71479130158032e-09,6.46378881328647e-09,6.46378881328647e-09,2.01828286496858e-11,2.17575560348606e+20,7.8815638671875e-05
10.11,NaN,NaN,1.26021274706764e-10,1,-3.246866490584e-13,9.12450160224085e-11,9.66345723290475e-10,1.30454224441648e-11,-8.89802331501171e-10,-3.14191313231821e-09,2.58355098735922e-09,6.15131187466481e-09,6.15131187466481e-09,1.623433245292e-11,2.17575560348606e+20,7.8815638671875e-05
