Time,Event,EventTime,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,x1_3,XX1,SS,gg1,z1,chi,Normalized chi
10.36,NaN,NaN,2.40067305673924e-11,1,-7.91954819500367e-14,-6.13783726983934e-12,-2.74967537183795e-11,3.20585580177574e-12,5.99781053343134e-11,9.06166622986119e-11,2.91306651689459e-12,6.93587265927284e-12,6.93587265927284e-12,3.95977409750183e-12,68536.6862601039,0.350000178736744
10.37,NaN,NaN,2.40067305673924e-11,1,-6.41171160355148e-14,-5.99781053343134e-12,-2.71849986895836e-11,2.59646675528588e-12,5.85936004849634e-11,8.95650857464832e-11,2.81974984915188e-12,6.7136901170283e-12,6.7136901170283e-12,3.20585580177574e-12,68536.6862601039,0.350000178736744
10.38,NaN,NaN,2.40067305673924e-11,1,-5.19293351057176e-14,-5.85936004849634e-12,-2.6869525723945e-11,2.10387432853944e-12,5.72279983846978e-11,8.85020824293373e-11,2.72954419299687e-12,6.49891474523064e-12,6.49891474523064e-12,2.59646675528588e-12,68536.6862601039,0.350000178736744
10.39,NaN,NaN,2.40067305673924e-11,1,-4.20774865707887e-14,-5.72279983846978e-12,-2.65506247288012e-11,1.7056679784703e-12,5.58836863713403e-11,8.74286933167572e-11,2.64214649816244e-12,6.29082499562485e-12,6.29082499562485e-12,2.10387432853944e-12,68536.6862601039,0.350000178736744
10.4,NaN,NaN,2.40067305673924e-11,1,-3.4113359569406e-14,-5.58836863713403e-12,-2.62286079950272e-11,1.38373788428026e-12,5.45624470367933e-11,8.63460055883766e-11,2.5573355754702e-12,6.08889422731001e-12,6.08889422731001e-12,1.7056679784703e-12,68536.6862601039,0.350000178736744
10.41,NaN,NaN,2.40067305673924e-11,1,-2.76747576856053e-14,-5.45624470367933e-12,-2.5903801676513e-11,1.12344959427519e-12,5.3265577856691e-11,8.52551302917692e-11,2.47494683676838e-12,5.89273056373424e-12,5.89273056373424e-12,1.38373788428026e-12,68536.6862601039,0.350000178736744
10.42,NaN,NaN,2.40067305673924e-11,0,-2.24689918855038e-14,-5.3265577856691e-12,-2.55765390875307e-11,5.51456814676859e-12,5.19939877747555e-11,8.41571848730924e-11,2.39485509766315e-12,5.70203594681701e-12,5.70203594681701e-12,1.12344959427519e-12,68536.6862601039,0.350000178736744
10.43,NaN,NaN,2.40067305673924e-11,1,-1.10291362935372e-13,-5.19939877747555e-12,-2.52471554619277e-11,4.46133247294597e-12,5.08604941682878e-11,8.30532796222833e-11,2.35684107112374e-12,5.61152635981843e-12,5.61152635981843e-12,5.51456814676859e-12,68536.6862601039,0.350000178736744
10.44,NaN,NaN,2.40067305673924e-11,1,-8.92266494589195e-14,-5.08604941682878e-12,-2.4915983886685e-11,3.61009305238811e-12,4.97289578120235e-11,8.19483588399312e-11,2.27465119563165e-12,5.41583618007537e-12,5.41583618007537e-12,4.46133247294597e-12,68536.6862601039,0.350000178736744
10.45,NaN,NaN,2.40067305673924e-11,1,-7.22018610477622e-14,-4.97289578120235e-12,-2.45845076519794e-11,2.92208803494824e-12,4.86042570571302e-11,8.08425245578514e-11,2.19620820503168e-12,5.22906715483733e-12,5.22906715483733e-12,3.61009305238811e-12,68536.6862601039,0.350000178736744
10.46,NaN,NaN,2.40067305673924e-11,1,-5.84417606989649e-14,-4.86042570571302e-12,-2.42527573673554e-11,2.36599430487517e-12,4.74902060011863e-11,7.97360427406916e-11,2.12097706970981e-12,5.04994540407098e-12,5.04994540407098e-12,2.92208803494824e-12,68536.6862601039,0.350000178736744
10.47,NaN,NaN,2.40067305673924e-11,1,-4.73198860975034e-14,-4.74902060011863e-12,-2.39208128222075e-11,1.91649990795981e-12,4.63897618505483e-11,7.86293011321183e-11,2.04857380758232e-12,4.87755668471982e-12,4.87755668471982e-12,2.36599430487517e-12,68536.6862601039,0.350000178736744
10.48,NaN,NaN,2.40067305673924e-11,1,-3.83299981591962e-14,-4.63897618505483e-12,-2.35887903396355e-11,1.55315044563582e-12,4.53051924115544e-11,7.75227756648963e-11,1.97871801202706e-12,4.71123336196919e-12,4.71123336196919e-12,1.91649990795981e-12,68536.6862601039,0.350000178736744
10.49,NaN,NaN,2.40067305673924e-11,1,-3.10630089127164e-14,-4.53051924115544e-12,-2.32568326994689e-11,1.25941685874614e-12,4.42382113641316e-11,7.64170037724751e-11,1.91120083787207e-12,4.5504781854097e-12,4.5504781854097e-12,1.55315044563582e-12,68536.6862601039,0.350000178736744
10.5,NaN,NaN,2.40067305673924e-11,1,-2.51883371749229e-14,-4.42382113641316e-12,-2.29251011317425e-11,1.02194211385092e-12,4.31900875025287e-11,7.53125632594359e-11,1.84586328153967e-12,4.39491257509446e-12,4.39491257509446e-12,1.25941685874614e-12,68536.6862601039,0.350000178736744
10.51,NaN,NaN,2.40067305673924e-11,1,-2.04388422770184e-14,-4.31900875025287e-12,-2.25937689778308e-11,8.29932458701361e-13,4.21617329409351e-11,7.42100556465074e-11,1.78258134566415e-12,4.24424129920035e-12,4.24424129920035e-12,1.02194211385092e-12,68536.6862601039,0.350000178736744
10.52,NaN,NaN,2.40067305673924e-11,1,-1.65986491740272e-14,-4.21617329409351e-12,-2.22630166939522e-11,6.74665502458854e-13,4.11537743225748e-11,7.31100931146067e-11,1.72125583086801e-12,4.09822816873336e-12,4.09822816873336e-12,8.29932458701361e-13,68536.6862601039,0.350000178736744
10.53,NaN,NaN,2.40067305673924e-11,1,-1.34933100491771e-14,-4.11537743225748e-12,-2.1933027934382e-11,5.49092700699829e-13,4.01666102957787e-11,7.20132883410266e-11,1.66180525552969e-12,3.9566791798326e-12,3.9566791798326e-12,6.74665502458854e-13,68536.6862601039,0.350000178736744
10.54,NaN,NaN,2.40067305673924e-11,1,-1.09818540139966e-14,-4.01666102957787e-12,-2.1603986502308e-11,4.47518127885187e-13,3.92004578941875e-11,7.09202466571576e-11,1.60416090409355e-12,3.81943072403226e-12,3.81943072403226e-12,5.49092700699829e-13,68536.6862601039,0.350000178736744
10.55,NaN,NaN,2.40067305673924e-11,1,-8.95036255770375e-15,-3.92004578941875e-12,-2.12760739971473e-11,3.65338896887482e-13,3.82553899521067e-11,6.98315600672349e-11,1.54826333460213e-12,3.68634127286221e-12,3.68634127286221e-12,4.47518127885187e-13,68536.6862601039,0.350000178736744
10.56,NaN,NaN,2.40067305673924e-11,1,-7.30677793774965e-15,-3.82553899521067e-12,-2.09494680201705e-11,2.98835394825015e-13,3.7331365277023e-11,6.87478027565435e-11,1.49405989482751e-12,3.55728546387502e-12,3.55728546387502e-12,3.65338896887482e-13,68536.6862601039,0.350000178736744
10.57,NaN,NaN,2.40067305673924e-11,1,-5.9767078965003e-15,-3.7331365277023e-12,-2.06243408269631e-11,2.45001774904006e-13,3.64282529707859e-11,6.76695277893714e-11,1.44150294174164e-12,3.43214986128963e-12,3.43214986128963e-12,2.98835394825015e-13,68536.6862601039,0.350000178736744
10.58,NaN,NaN,2.40067305673924e-11,1,-4.90003549808012e-15,-3.64282529707859e-12,-2.03008583368114e-11,2.01408978697067e-13,3.55458520238719e-11,6.65972647550479e-11,1.390548556072e-12,3.31082989540952e-12,3.31082989540952e-12,2.45001774904006e-13,68536.6862601039,0.350000178736744
10.59,NaN,NaN,2.40067305673924e-11,1,-4.02817957394134e-15,-3.55458520238719e-12,-1.99791794265144e-11,1.66094045908867e-13,3.46839070913292e-11,6.55315181672885e-11,1.34115560873366e-12,3.19322763984204e-12,3.19322763984204e-12,2.01408978697067e-13,68536.6862601039,0.350000178736744
10.6,NaN,NaN,2.40067305673924e-11,1,-3.32188091817734e-15,-3.46839070913292e-12,-1.96594554501865e-11,1.37470666770857e-13,3.38421211845905e-11,6.44727664599394e-11,1.293285079787e-12,3.07925018996905e-12,3.07925018996905e-12,1.66094045908867e-13,68536.6862601039,0.350000178736744
10.61,NaN,NaN,2.40067305673924e-11,0,-2.74941333541714e-15,-3.38421211845905e-12,-1.93418299379818e-11,4.71779068762092e-12,3.30201658724125e-11,6.34214614527989e-11,1.24689956033427e-12,2.96880847698635e-12,2.96880847698635e-12,1.37470666770857e-13,68536.6862601039,0.350000178736744
10.62,NaN,NaN,2.40067305673924e-11,1,-9.43558137524185e-14,-3.30201658724125e-12,-1.90264384358397e-11,3.81555543998869e-12,3.2329955848781e-11,6.23780281858889e-11,1.23146565960866e-12,2.93206109430633e-12,2.93206109430633e-12,4.71779068762092e-12,68536.6862601039,0.350000178736744
10.63,NaN,NaN,2.40067305673924e-11,1,-7.63111087997737e-14,-3.2329955848781e-12,-1.87134084557667e-11,3.0863879003478e-12,3.16345751660118e-11,6.13467182471346e-11,1.18286146819096e-12,2.81633682902608e-12,2.81633682902608e-12,3.81555543998869e-12,68536.6862601039,0.350000178736744
10.64,NaN,NaN,2.40067305673924e-11,1,-6.1727758006956e-14,-3.16345751660118e-12,-1.84040154741404e-11,2.49707658325989e-12,3.0938370523164e-11,6.03269380723043e-11,1.13698615477768e-12,2.7071098923278e-12,2.7071098923278e-12,3.0863879003478e-12,68536.6862601039,0.350000178736744
10.65,NaN,NaN,2.40067305673924e-11,1,-4.99415316651977e-14,-3.0938370523164e-12,-1.80980814216913e-11,2.02078359819927e-12,3.02447726878516e-11,5.93182636568827e-11,1.09342383764315e-12,2.60339008962655e-12,2.60339008962655e-12,2.49707658325989e-12,68536.6862601039,0.350000178736744
10.66,NaN,NaN,2.40067305673924e-11,1,-4.04156719639853e-14,-3.02447726878516e-12,-1.77954790970648e-11,1.63582148770943e-12,2.95564742659222e-11,5.83204032998437e-11,1.05187279493954e-12,2.50445903557033e-12,2.50445903557033e-12,2.02078359819927e-12,68536.6862601039,0.350000178736744
