Time,Event,EventTime,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_3,XX1,SS,gg1,z1,G11,G22,rho,delta
2.16,1,0.12,8.47342234456045e-08,1,5.1198384830815e-09,0.000490616295633564,0.00439074798705513,-2.52221690102681e-07,-0.0047865229872397,-0.0143019759466838,6757.02216740287,67570.2216740287,0,-2.55991924154075e-07,0.346474315150759,0.0800540397229288,0.65811419617138,0.0781141961713801
2.17,NaN,NaN,8.47342234456045e-08,1,5.04443380205362e-09,0.000478652262169612,0.00429056645542485,-2.47770425693047e-07,-0.00466980020208024,-0.0139753865702098,6450.10028892925,64501.0028892925,35.6832538726654,-2.52221690102681e-07,0.32434280549265,0.084273655051309,0.652861073562446,0.072861073562446
2.18,NaN,NaN,8.47342234456045e-08,0,4.95540851386095e-09,0.000466979986263196,0.00419259140526106,-1.83965443560533e-07,-0.00455592382692948,-0.0136560002348828,6156.91600514397,61569.1600514397,139.568633285265,-2.47770425693047e-07,0.370477829619837,0.0907301098186025,0.656004741750288,0.0760047417502878
2.19,NaN,NaN,8.47342234456045e-08,1,3.67930887121066e-09,0.000455592351171361,0.00409677715070089,-1.90609052682359e-07,-0.00444482299892742,-0.013343667412409,5876.86624201673,58768.6624201672,307.088281874368,-1.83965443560533e-07,0.353413369352794,0.0985151773346547,0.653046356989835,0.0730463569898348
2.2,NaN,NaN,8.47342234456045e-08,1,3.81218105364718e-09,0.000444482270621435,0.0040030788408844,-1.9501292316076e-07,-0.00433643174883555,-0.0130382412744495,5609.3734948534,56093.734948534,533.904425443966,-1.90609052682359e-07,0.32476059162925,0.0973835979199431,0.653186251800573,0.0731862518005734
2.21,NaN,NaN,8.47342234456045e-08,1,3.9002584632152e-09,0.000433643147701877,0.0039114524344482,-1.9808116550044e-07,-0.00423068394355685,-0.0127395777679114,5353.88559316452,53538.8559316452,815.898365598586,-1.9501292316076e-07,0.356645779595533,0.0999274200689258,0.660712926541197,0.0807129265411972
2.22,NaN,NaN,8.47342234456045e-08,1,3.96162331000881e-09,0.000423068369114458,0.00382185472214301,-1.99221377370564e-07,-0.00412751508483071,-0.0124475355140719,5109.87369190554,51098.7369190553,1149.16143679544,-1.9808116550044e-07,0.347842302857031,0.0979034664556231,0.654058614197923,0.0740586141979229
2.23,NaN,NaN,8.47342234456045e-08,1,3.98442754741128e-09,0.000412751485043767,0.00373424329660026,-1.99479512672255e-07,-0.00402686223286868,-0.0121619757728995,4876.8316648512,48768.316648512,1529.98542533863,-1.99221377370564e-07,0.319428476318289,0.101641732745386,0.658284235082034,0.0782842350820337
2.24,NaN,NaN,8.47342234456045e-08,1,3.98959025344509e-09,0.000402686201520847,0.00364857654165549,-1.98829293871349e-07,-0.00392866400830258,-0.0118827624059785,4654.27515715214,46542.7515715214,1954.85357631644,-1.99479512672255e-07,0.300397344705269,0.0880362238988325,0.658924888842779,0.078924888842779
2.25,NaN,NaN,8.47342234456045e-08,1,3.97658587742697e-09,0.000392866380618068,0.00356481362125132,-1.97537703173864e-07,-0.0038328605279821,-0.0116097618407735,4441.74068796124,44417.4068796124,2420.43194584708,-1.98829293871349e-07,0.332603042610209,0.105004261829632,0.660892711848291,0.0808927118482906
2.26,NaN,NaN,8.47342234456045e-08,1,3.95075406347729e-09,0.000383286034028923,0.0034829144687406,-1.95227582932493e-07,-0.00373939337563817,-0.0113428430339159,4238.78477683012,42387.8477683012,2923.56112848178,-1.97537703173864e-07,0.293737452027405,0.104027360397823,0.653406172033244,0.0734061720332439
2.27,NaN,NaN,8.47342234456045e-08,1,3.90455165864987e-09,0.000373939320134427,0.00340283977589495,-1.92772187099398e-07,-0.00364820555040154,-0.0110818774347445,4044.98311017162,40449.8311017162,3461.24831641878,-1.95227582932493e-07,0.324015876815041,0.088388125321768,0.657933816471186,0.0779338164711856
2.28,1,0.12,6.35210578775246e-08,1,3.85544374198797e-09,0.000364820538855008,0.00332455098198791,-1.89766569884276e-07,-0.00355924146277923,-0.0108267389483301,3859.92973795628,38599.2973795628,0,-1.92772187099398e-07,0.298214280705389,0.106427299927644,0.653985093007095,0.0739850930070948
2.29,NaN,NaN,6.35210578775246e-08,1,3.79533139768552e-09,0.000355924131248196,0.00324801026272212,-1.86464192560599e-07,-0.00347244686906377,-0.010577303899631,3683.23630880891,36832.3630880891,20.7039207860525,-1.89766569884276e-07,0.309818348858094,0.0974483845714771,0.652394517203862,0.0723945172038621
2.3,NaN,NaN,6.35210578775246e-08,1,3.72928385121197e-09,0.000347244672949587,0.00317318051949449,-1.83128514754517e-07,-0.00338776885457018,-0.0103334509966279,3514.53132632662,35145.3132632662,80.9567053430981,-1.86464192560599e-07,0.276772342627865,0.103549231244049,0.654528898141155,0.0745288981411548
2.31,NaN,NaN,6.35210578775246e-08,1,3.66257029509034e-09,0.000338776872496569,0.00310002536835397,-1.79571253430138e-07,-0.00330515580146886,-0.0100950612941482,3353.45944267792,33534.5944267792,178.076700496616,-1.83128514754517e-07,0.290980827860786,0.112005653773383,0.652379560181703,0.0723795601817031
2.32,NaN,NaN,6.35210578775246e-08,0,3.59142506860276e-09,0.000330515568111652,0.00302850912916529,-1.32923783628688e-07,-0.0032245573461426,-0.00986201815782842,3199.6807777039,31996.807777039,309.519498808641,-1.79571253430138e-07,0.323008442305937,0.0980515774055613,0.661159125408785,0.0811591254087849
2.33,NaN,NaN,6.35210578775246e-08,1,2.65847567257376e-09,0.000322455723438192,0.00295859681481284,-1.37536218440175e-07,-0.00314592330775453,-0.00963420722784973,3052.87023877071,30528.7023877071,472.871731635359,-1.32923783628688e-07,0.281028538606469,0.0998497101916156,0.652263580351444,0.0722635803514442
2.34,NaN,NaN,6.35210578775246e-08,1,2.7507243688035e-09,0.000314592320397227,0.00289025412033562,-1.40666301327847e-07,-0.00306920703014408,-0.00941151634714423,2912.71681476807,29127.1681476807,665.845263364272,-1.37536218440175e-07,0.290995969349785,0.0973138292719021,0.654638163066847,0.0746381630668469
2.35,NaN,NaN,6.35210578775246e-08,1,2.81332602655694e-09,0.000306920693377066,0.00282344740140274,-1.42868942896937e-07,-0.00299436170872905,-0.00919383560676615,2778.92339626228,27789.2339626228,886.270809018642,-1.40666301327847e-07,0.262840192559011,0.115105294808287,0.662900959542231,0.082900959542231
2.36,NaN,NaN,6.35210578775246e-08,0,2.85737885793874e-09,0.000299436161923554,0.00275814368793705,-1.03264352868324e-07,-0.00292134169388318,-0.00898105726363772,2651.20569339724,26512.0569339724,1132.09310491032,-1.42868942896937e-07,0.311080713529624,0.108544417315074,0.652522061557872,0.0725220615578724
2.37,NaN,NaN,6.35210578775246e-08,1,2.06528705736648e-09,0.000292134161077844,0.00269431065945088,-1.11136579619458e-07,-0.00285010145230223,-0.0087730757058526,2529.29185080009,25292.9185080009,1401.36550386796,-1.03264352868324e-07,0.282584662226127,0.100027273692319,0.659175905107684,0.079175905107684
2.38,NaN,NaN,6.35210578775246e-08,1,2.22273159238916e-09,0.000285010137513024,0.00263191663464802,-1.16915313626383e-07,-0.0027805987384727,-0.00856978738352225,2412.92184600393,24129.2184600393,1692.24519095225,-1.11136579619458e-07,0.285905328516793,0.0991775188277556,0.660780761573373,0.0807807615733729
2.39,NaN,NaN,6.35210578775246e-08,1,2.33830627252766e-09,0.000278059866680991,0.00257093055068812,-1.20845430535599e-07,-0.00271279112825132,-0.00837109085084686,2301.84734216957,23018.4734216957,2002.98736167478,-1.16915313626383e-07,0.25024481226495,0.121313527857312,0.658174891085486,0.0781748910854863
2.4,1,0.12,4.81018991034647e-08,1,2.41690861071197e-09,0.000271279106170442,0.00251132197581745,-1.23383057293595e-07,-0.00264663723806417,-0.00817688668776793,2195.83076846984,21958.3076846984,0,-1.20845430535599e-07,0.290967248113466,0.101808763630198,0.657662197951042,0.0776621979510415
2.41,NaN,NaN,4.81018991034647e-08,1,2.46766114587189e-09,0.000264663717626794,0.00245306108587381,-1.24980126795533e-07,-0.00258209670468212,-0.0079870774661552,2094.64501333595,20946.4501333595,11.9361102501807,-1.23383057293595e-07,0.269515353828406,0.107810663637732,0.66158795127943,0.0815879512794299
2.42,NaN,NaN,4.81018991034647e-08,1,2.49960253591066e-09,0.00025820966472974,0.00239611865415118,-1.25382909565804e-07,-0.00251913016023539,-0.00780156771645992,1998.07297642593,19980.7297642593,46.6614461450303,-1.24980126795533e-07,0.247374607122143,0.122850383425217,0.653689949362745,0.0736899493627452
2.43,NaN,NaN,4.81018991034647e-08,1,2.50765819131609e-09,0.000251913010694725,0.00234046604140357,-1.25335848588982e-07,-0.00245769919073074,-0.00762026389465518,1905.90713812277,19059.0713812277,102.614644032455,-1.25382909565804e-07,0.268413857937387,0.111832793942401,0.659181505041042,0.0791815050410416
2.44,NaN,NaN,4.81018991034647e-08,1,2.50671697177965e-09,0.000245769914124673,0.0022860751859346,-1.24756340278266e-07,-0.00239776633713173,-0.00744307434888709,1817.94914560427,18179.4914560427,178.315393653135,-1.25335848588982e-07,0.280939811108428,0.103645870206494,0.659817286373317,0.0798172863733175
2.45,NaN,NaN,4.81018991034647e-08,0,2.49512680556532e-09,0.000239776629118027,0.00223291859359981,-9.15862270068272e-08,-0.00233929505190097,-0.00726990928730762,1734.00942015758,17340.0942015758,272.36067708974,-1.24756340278266e-07,0.259360304532898,0.105390816227069,0.657821237065398,0.0778212370653977
2.46,NaN,NaN,4.81018991034647e-08,0,1.83172454013654e-09,0.000233929500922988,0.00218096932816307,-6.4781193111271e-08,-0.00228224889698358,-0.00710068074551999,1653.90676217156,16539.0676217156,383.421194420515,-9.15862270068272e-08,0.250831255837564,0.129267327489851,0.659579017094659,0.0795790170946593
2.47,NaN,NaN,4.81018991034647e-08,1,1.29562386222542e-09,0.000228224885735872,0.00213020100153622,-7.42071785992607e-08,-0.0022265932729518,-0.00693530252761453,1577.46793266837,15774.6793266837,510.238052052696,-6.4781193111271e-08,0.253991494634614,0.106672019882443,0.659890300943033,0.079890300943033
2.48,NaN,NaN,4.81018991034647e-08,1,1.48414357198521e-09,0.000222659323615573,0.00208058775609564,-8.13324434521034e-08,-0.00217229515249479,-0.00677369020857599,1504.52749171854,15045.2749171854,651.619166347563,-7.42071785992607e-08,0.239768613759658,0.126711854185752,0.660581515695021,0.0805815156950213
2.49,NaN,NaN,4.81018991034647e-08,1,1.62664886904207e-09,0.000217229511832555,0.00203210426540974,-8.66143088384473e-08,-0.00211932137406519,-0.00661576112746117,1434.92741031516,14349.2741031516,806.436078475304,-8.13324434521034e-08,0.265741985759714,0.119706681057075,0.661430509358224,0.0814305093582241
2.5,NaN,NaN,4.81018991034647e-08,0,1.73228617676895e-09,0.000211932134233526,0.00198472573219718,-6.07633462640579e-08,-0.00206763959597901,-0.00646143432224512,1368.51659246178,13685.1659246178,973.621296296459,-8.66143088384473e-08,0.222243303396228,0.133810995574237,0.656820220130012,0.076820220130012
2.51,NaN,NaN,4.81018991034647e-08,1,1.21526692528116e-09,0.000206763956651423,0.00193842786878547,-6.89410549117456e-08,-0.0020172175509876,-0.00631063049965021,1305.15065609573,13051.5065609573,1152.16528862368,-6.07633462640579e-08,0.241994590489779,0.115279695705986,0.658814508701945,0.0788145087019449
