Time,Event,EventTime,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_2,XX1,SS,gg1,z1,chi,G11,G22,rho,delta
4.27,NaN,NaN,5.95085983347812e-10,1,2.29763283761509e-11,2.68168011278268e-06,2.73529240271053e-05,-1.19716980951938e-09,-2.61628478149712e-05,-8.89674628324267e-05,18.3711306353145,3.6742261270629,0.0625833614040425,-1.14881641880754e-09,0.234016312149013,0.218549453134186,0.0562246782060875,0.629188411675977,0.0491884116759771
4.28,NaN,NaN,5.95085983347812e-10,0,2.39433961903876e-11,2.61628478149115e-06,2.66902388433902e-05,-8.53250260914508e-10,-2.55248436406877e-05,-8.68118828357976e-05,17.4912934439947,3.49825868879895,0.0879897071698018,-1.19716980951938e-09,0.234016312149013,0.232971520137567,0.0518230310804695,0.625356383434283,0.0453563834342834
4.29,NaN,NaN,5.95085983347812e-10,1,1.70650052182902e-11,2.55248436406322e-06,2.60435648448511e-05,-9.42912911280725e-10,-2.49023900870363e-05,-8.4708389076543e-05,16.6535423778098,3.33070847556196,0.116944193613039,-8.53250260914508e-10,0.234016312149013,0.244588290416759,0.0468572090518049,0.622990806891511,0.0429908068915107
4.3,NaN,NaN,5.95085983347812e-10,1,1.88582582256145e-11,2.49023900869848e-06,2.54125167174925e-05,-1.01066092488631e-09,-2.42951184948009e-05,-8.26557275792252e-05,15.8558666108034,3.17117332216068,0.149162124388361,-9.42912911280725e-10,0.234016312149013,0.204260505537602,0.0546241310769511,0.626619418625909,0.0466194186259089
4.31,NaN,NaN,5.95085983347812e-10,1,2.02132184977261e-11,2.42951184947531e-06,2.47967182686852e-05,-1.05801071763525e-09,-2.37026580870562e-05,-8.06526747542296e-05,15.0963526800573,3.01927053601145,0.184375099435986,-1.01066092488631e-09,0.234016312149013,0.20576942481797,0.0489585341672632,0.623100313476654,0.0431003134766536
4.32,NaN,NaN,5.95085983347812e-10,1,2.1160214352705e-11,2.37026580870118e-06,2.41958024215472e-05,-1.09184178738956e-09,-2.31246471659945e-05,-7.86980362821788e-05,14.3731774983245,2.87463549966491,0.222330259672387,-1.05801071763525e-09,0.234016312149013,0.215867096152772,0.0482975135856315,0.626867162849582,0.0468671628495822
4.33,NaN,NaN,5.95085983347812e-10,0,2.18368357477913e-11,2.31246471659533e-06,2.3609410880267e-05,-7.68133843607227e-10,-2.25607330223031e-05,-7.67906464209331e-05,13.6846049173392,2.73692098346783,0.262789454659448,-1.09184178738956e-09,0.234016312149013,0.242806935441058,0.0478275968474878,0.622728843946287,0.0427288439462868
4.34,NaN,NaN,5.95085983347812e-10,1,1.53626768721445e-11,2.25607330222648e-06,2.30371939222046e-05,-8.43990019334408e-10,-2.20105631585682e-05,-7.49293673332654e-05,13.0289814840692,2.60579629681384,0.305528486272042,-7.68133843607227e-10,0.234016312149013,0.215860156711057,0.0478416619601941,0.620634505774541,0.0406345057745408
4.35,NaN,NaN,5.95085983347812e-10,1,1.68798003866882e-11,2.20105631585327e-06,2.24788101961934e-05,-9.0113046268226e-10,-2.14738121372048e-05,-7.31130881363814e-05,12.4047322164552,2.48094644329105,0.350336408167347,-8.43990019334408e-10,0.234016312149013,0.211648730668494,0.0437029906563476,0.624223133201115,0.0442231332011149
4.36,NaN,NaN,5.95085983347812e-10,0,1.80226092536452e-11,2.14738121371718e-06,2.1933926437397e-05,-6.14018496420657e-10,-2.09501522564834e-05,-7.13407249055377e-05,11.8103584726443,2.36207169452887,0.397014715013572,-9.0113046268226e-10,0.234016312149013,0.207566553551116,0.0409876707114437,0.625705199980174,0.0457051999801745
4.37,NaN,NaN,5.95085983347812e-10,1,1.22803699284131e-11,2.09501522564528e-06,2.14022174683935e-05,-7.04411747682015e-10,-2.04392558674736e-05,-6.96112196710768e-05,11.2444323058171,2.24888646116343,0.445376829981859,-6.14018496420657e-10,0.234016312149013,0.255251699912363,0.0428747747825458,0.623118691843336,0.0431186918433365
4.38,NaN,NaN,5.95085983347812e-10,1,1.40882349536403e-11,2.04392558674451e-06,2.08833658982872e-05,-7.71583444749963e-10,-1.99408209131228e-05,-6.79235395294095e-05,10.7055935534862,2.14111871069723,0.495247462873789,-7.04411747682015e-10,0.234016312149013,0.254905793728071,0.0445957044763209,0.6206007515981,0.0406007515981004
4.39,1,0.17,3.86118656425694e-10,1,1.54316688949993e-11,1.99408209130964e-06,2.03770618560025e-05,-8.20916067515632e-10,-1.945454293012e-05,-6.62766766610614e-05,10.1925480253468,2.03850960506936,0,-7.71583444749963e-10,0.234016312132041,0.247330016847073,0.0380091290320737,0.620484649664362,0.0404846496643623
4.4,NaN,NaN,3.86118656425694e-10,1,1.64183213503126e-11,1.94545429300954e-06,1.98830029956983e-05,-8.5662211771694e-10,-1.89801250113633e-05,-6.4669647387148e-05,9.70406267046826,1.94081253409365,0.00119947320030643,-8.20916067515632e-10,0.234016312132041,0.234337721879014,0.0428214082916554,0.622522135724179,0.0425221357241792
4.41,NaN,NaN,3.86118656425694e-10,1,1.71324423543388e-11,1.89801250113405e-06,1.94008942137103e-05,-8.80142137378743e-10,-1.85172775931547e-05,-6.31014916001663e-05,9.2389632933552,1.84779265867104,0.00468246773938588,-8.5662211771694e-10,0.234016312132041,0.222298486872807,0.0415411957077046,0.620400286521687,0.0404002865216872
4.42,NaN,NaN,3.86118656425694e-10,1,1.76028427475749e-11,1.85172775931336e-06,1.89304474777886e-05,-8.9367179188009e-10,-1.80657182085168e-05,-6.15712722070177e-05,8.79613174874131,1.75922634974826,0.0102831097744813,-8.80142137378743e-10,0.234016312132041,0.24259736285452,0.0351104552656468,0.617305020745778,0.0373050207457779
4.43,NaN,NaN,3.86118656425694e-10,1,1.78734358376018e-11,1.80657182084971e-06,1.84713816600045e-05,-9.01442187120776e-10,-1.76251713325397e-05,-6.00780745826811e-05,8.37450326804655,1.67490065360931,0.0178448137719575,-8.9367179188009e-10,0.234016312132041,0.226761508868218,0.0340093475636734,0.621697600720806,0.0416976007208059
4.44,NaN,NaN,3.86118656425694e-10,1,1.80288437424155e-11,1.76251713325214e-06,1.80234223728527e-05,-9.02444838750751e-10,-1.71953682627236e-05,-5.86210060373297e-05,7.97306391835165,1.59461278367033,0.0272198069246966,-9.01442187120776e-10,0.234016312132041,0.234083427317559,0.0324509666220357,0.61841430249674,0.0384143024967396
